Обучающая выборка. Трансформатор с Низкотемпературным дефектом.
        H2,              CO               C2H4,            C2H2        
    0.0000660000     0.0000760000     0.0000070000     0.0000020000      
    0.0014500000     0.0024200000     0.0003220000     0.0002110000      
    0.0000000000     0.0039000000     0.0005400000     0.0004100000      
    0.0003600000     0.0120000000     0.0002600000     0.0002590000      
    0.0000010000     0.0000530000     0.0000040000     0.0000490000      
    0.0012700000     0.0004830000     0.0013900000     0.0005200000      
    0.0000330000     0.0000000000     0.0000120000     0.0000000000      
    0.0000460000     0.0000000000     0.0000413000     0.0000000000      
    0.0000600000     0.0000000000     0.0000400000     0.0000003000      
    0.0000872000     0.0000000000     0.0000568800     0.0000000000      
    0.0000970000     0.0000000000     0.0000850000     0.0000000000      
    0.0001104000     0.0000000000     0.0000808000     0.0000000000      
    0.0000299000     0.0000000000     0.0000925000     0.0000006000      
    0.0001200000     0.0000000000     0.0000840000     0.0000005500      
    0.0001432000     0.0000000000     0.0000750000     0.0000000000      
    0.0001810000     0.0000000000     0.0001320000     0.0000000000      
    0.0002200656     0.0007936057     0.0000000000     0.0000000000      
    0.0009643026     0.0009010505     0.0009415716     0.0000231358      
    0.0000000000     0.0009913554     0.0000441523     0.0000000000      
    0.0004527691     0.0011041713     0.0004501612     0.0000000000      
    0.0000635887     0.0009231112     0.0000051317     0.0000000000      
    0.0000559716     0.0012189181     0.0000043600     0.0000000000      
    0.0002231049     0.0009475400     0.0000027371     0.0000000000      
    0.0000360387     0.0008125190     0.0000053675     0.0000000000      
    0.0000336239     0.0011085853     0.0000026086     0.0000000000      
    0.0000150428     0.0008437230     0.0000031769     0.0000000000      
    0.0000511757     0.0011477715     0.0000005061     0.0000000000      
    0.0001429740     0.0010074106     0.0001313460     0.0000000000      
    0.0000874076     0.0009940598     0.0000023119     0.0000000000      
    0.0000060138     0.0007891329     0.0000006846     0.0000000000      
    0.0000534013     0.0009732722     0.0000000000     0.0000000000      
    0.0000531648     0.0010505435     0.0000025896     0.0000000000      
    0.0000855204     0.0009634291     0.0000028320     0.0000000000      
    0.0013666025     0.0008123455     0.0012893119     0.0000083683      
    0.0031107463     0.0011048686     0.0070697773     0.0000297677      
    0.0003257385     0.0011460696     0.0002575035     0.0000095694      
    0.0000010938     0.0008873614     0.0000039465     0.0000009277      
    0.0036794968     0.0008247258     0.0074135164     0.0000054674      
    0.0000445179     0.0008103795     0.0000102572     0.0000000000      
    0.0000126171     0.0010717469     0.0000043374     0.0000000000      
    0.0000615876     0.0012566530     0.0000070611     0.0000000000      
    0.0013590586     0.0011191389     0.0003511189     0.0000650353      
    0.0000000000     0.0009517249     0.0005142682     0.0003001545      
    0.0010555703     0.0009270614     0.0017041435     0.0000059481      
    0.0252941637     0.0012002656     0.0382752628     0.0016375590      
    0.0000128677     0.0008106219     0.0000066607     0.0000009843      
    0.0019577412     0.0009415663     0.0000027375     0.0000000000      
    0.0004916330     0.0011058439     0.0011289744     0.0000000000      
    0.0389443623     0.0008307920     0.0006310914     0.0000060210      
    0.0000147188     0.0001360190     0.0000073360     0.0001254200      
    0.0020019920     0.0005841114     0.0000028446     0.0000207530      
    0.0000433754     0.0020694082     0.0000090133     0.0000315792      
    0.0000111608     0.0005468181     0.0000041146     0.0000037970      
    0.0000688585     0.0000717861     0.0000066460     0.0000021472      
    0.0013970873     0.0024146450     0.0003471129     0.0002170801      
    0.0000000000     0.0042683549     0.0005295191     0.0004185386      
    0.0003249413     0.0108230753     0.0002636090     0.0002390300      
    0.0000010832     0.0000529900     0.0000038154     0.0000536919      
    0.0013334223     0.0004992290     0.0014563930     0.0004842156      
    0.0000309451     0.0000000000     0.0000129725     0.0000000000      
    0.0000498233     0.0000000000     0.0000417050     0.0000000000      
    0.0000596250     0.0000000000     0.0000388794     0.0000003007      
    0.0000819571     0.0000000000     0.0000610659     0.0000000000      
    0.0000923668     0.0000000000     0.0000858020     0.0000000000      
    0.0001183121     0.0000000000     0.0000783405     0.0000000000      
    0.0000302714     0.0000000000     0.0000864505     0.0000005428      
    0.0001235909     0.0000000000     0.0000872243     0.0000005397      
    0.0001438158     0.0000000000     0.0000764645     0.0000000000      
    0.0001778360     0.0000000000     0.0001218563     0.0000000000      
    0.0002461307     0.0008212261     0.0000000000     0.0000000000      
    0.0008456558     0.0008635010     0.0009214474     0.0000209033      
    0.0000000000     0.0008422099     0.0000437888     0.0000000000      
    0.0004664428     0.0010526666     0.0004602547     0.0000000000      
    0.0000601781     0.0010165049     0.0000050924     0.0000000000      
    0.0000506379     0.0012338885     0.0000046182     0.0000000000      
    0.0002116378     0.0008552038     0.0000030190     0.0000000000      
    0.0000393767     0.0007877421     0.0000054962     0.0000000000      
    0.0000336566     0.0011729105     0.0000022947     0.0000000000      
    0.0000127123     0.0008477013     0.0000031761     0.0000000000      
    0.0000470782     0.0011030213     0.0000005161     0.0000000000      
    0.0001219772     0.0009549907     0.0001182210     0.0000000000      
    0.0000776660     0.0010952813     0.0000025065     0.0000000000      
    0.0000055369     0.0008460246     0.0000007333     0.0000000000      
    0.0000528616     0.0009537984     0.0000000000     0.0000000000      
    0.0000601191     0.0011033469     0.0000024033     0.0000000000      
    0.0000787625     0.0009967349     0.0000028283     0.0000000000      
    0.0013934962     0.0007697231     0.0014064363     0.0000072706      
    0.0034379818     0.0010689796     0.0075712073     0.0000358599      
    0.0003275138     0.0011692400     0.0002567116     0.0000089253      
    0.0000010502     0.0008690594     0.0000039686     0.0000010437      
    0.0037584792     0.0008442452     0.0072786733     0.0000050191      
    0.0000486582     0.0008317163     0.0000105338     0.0000000000      
    0.0000112059     0.0009386798     0.0000039301     0.0000000000      
    0.0000617147     0.0012614080     0.0000070574     0.0000000000      
    0.0014636304     0.0011855804     0.0002987528     0.0000631207      
    0.0000000000     0.0010579280     0.0005226297     0.0003048641      
    0.0008782332     0.0008539341     0.0016055897     0.0000064399      
    0.0235102325     0.0012070166     0.0433866914     0.0016840488      
    0.0000133346     0.0008552819     0.0000073448     0.0000009082      
    0.0018494627     0.0010221234     0.0000027285     0.0000000000      
    0.0004790304     0.0011760210     0.0011776873     0.0000000000      
    0.0376649665     0.0008481318     0.0006409913     0.0000064133      
    0.0000141339     0.0001283095     0.0000071942     0.0001341787      
    0.0018891555     0.0005429228     0.0000028550     0.0000201823      
    0.0000490519     0.0020087645     0.0000095882     0.0000280204      
    0.0000114279     0.0005427154     0.0000038393     0.0000037350      
    0.0000597110     0.0000778142     0.0000076913     0.0000018839      
    0.0014432433     0.0026118030     0.0003300921     0.0002020236      
    0.0000000000     0.0039955410     0.0004966385     0.0004122470      
    0.0003810846     0.0125691341     0.0002694461     0.0002481951      
    0.0000010353     0.0000557424     0.0000039223     0.0000445110      
    0.0013688390     0.0004711255     0.0014462129     0.0005193993      
    0.0000338236     0.0000000000     0.0000129000     0.0000000000      
    0.0000475649     0.0000000000     0.0000422222     0.0000000000      
    0.0000618947     0.0000000000     0.0000374585     0.0000003158      
    0.0000816694     0.0000000000     0.0000514061     0.0000000000      
    0.0000963853     0.0000000000     0.0000788462     0.0000000000      
    0.0001099336     0.0000000000     0.0000875255     0.0000000000      
    0.0000282596     0.0000000000     0.0000955023     0.0000005862      
    0.0001291137     0.0000000000     0.0000884330     0.0000005915      
    0.0001396071     0.0000000000     0.0000777329     0.0000000000      
    0.0001865513     0.0000000000     0.0001192106     0.0000000000      
    0.0002291603     0.0009287534     0.0000000000     0.0000000000      
    0.0009607243     0.0008612946     0.0009181452     0.0000213991      
    0.0000000000     0.0008810542     0.0000412220     0.0000000000      
    0.0005063012     0.0010404569     0.0004725463     0.0000000000      
    0.0000694353     0.0010522088     0.0000051390     0.0000000000      
    0.0000545282     0.0011655170     0.0000046579     0.0000000000      
    0.0002037682     0.0009081150     0.0000032499     0.0000000000      
    0.0000363874     0.0008633568     0.0000054861     0.0000000000      
    0.0000334140     0.0012027677     0.0000023336     0.0000000000      
    0.0000128077     0.0009272854     0.0000027572     0.0000000000      
    0.0000472792     0.0010554279     0.0000004776     0.0000000000      
    0.0001427406     0.0011006525     0.0001228081     0.0000000000      
    0.0000806787     0.0010109318     0.0000026010     0.0000000000      
    0.0000058694     0.0008479666     0.0000006732     0.0000000000      
    0.0000502009     0.0008285732     0.0000000000     0.0000000000      
    0.0000575472     0.0009240885     0.0000023792     0.0000000000      
    0.0000817737     0.0009004920     0.0000028177     0.0000000000      
    0.0012748236     0.0008849283     0.0013948169     0.0000078994      
    0.0036064984     0.0010339264     0.0075096855     0.0000351340      
    0.0003925006     0.0010815377     0.0002728486     0.0000089754      
    0.0000010662     0.0008712303     0.0000036928     0.0000009903      
    0.0038525420     0.0008897952     0.0081581869     0.0000053347      
    0.0000509001     0.0008402323     0.0000107573     0.0000000000      
    0.0000117463     0.0011300988     0.0000039650     0.0000000000      
    0.0000617271     0.0010557818     0.0000072595     0.0000000000      
    0.0013599217     0.0011347011     0.0003295966     0.0000594973      
    0.0000000000     0.0011393278     0.0005085138     0.0003612632      
    0.0009200422     0.0008336612     0.0014541760     0.0000062175      
    0.0229246734     0.0011373742     0.0405824096     0.0015497041      
    0.0000132130     0.0009569382     0.0000071163     0.0000010346      
    0.0021513177     0.0009916956     0.0000029143     0.0000000000      
    0.0004326390     0.0012493042     0.0011967320     0.0000000000      
    0.0432510038     0.0009341096     0.0005859275     0.0000064381      
    0.0000135783     0.0001228031     0.0000067547     0.0001137374      
    0.0021466953     0.0005277382     0.0000029394     0.0000194378      
    0.0000504588     0.0018820311     0.0000103074     0.0000280791      
    0.0000123847     0.0005530206     0.0000041085     0.0000038597      
    0.0000699882     0.0000740153     0.0000074599     0.0000019022      
    0.0014480183     0.0021850388     0.0003029787     0.0001965601      
    0.0000000000     0.0037952630     0.0005407920     0.0004086341      
    0.0003675883     0.0117589065     0.0002675596     0.0002770332      
    0.0000009831     0.0000486626     0.0000037800     0.0000501695      
    0.0012429395     0.0004761572     0.0014631683     0.0004866140      
    0.0000315834     0.0000000000     0.0000111724     0.0000000000      
    0.0000469059     0.0000000000     0.0000386855     0.0000000000      
    0.0000556957     0.0000000000     0.0000372302     0.0000002720      
    0.0000798667     0.0000000000     0.0000583568     0.0000000000      
    0.0000921337     0.0000000000     0.0000869851     0.0000000000      
    0.0001151341     0.0000000000     0.0000749608     0.0000000000      
    0.0000281250     0.0000000000     0.0000931677     0.0000006524      
    0.0001285736     0.0000000000     0.0000828148     0.0000005582      
    0.0001430697     0.0000000000     0.0000720704     0.0000000000      
    0.0001769931     0.0000000000     0.0001198318     0.0000000000      
    0.0002213408     0.0008699179     0.0000000000     0.0000000000      
    0.0009063670     0.0008081690     0.0008897280     0.0000208595      
    0.0000000000     0.0008997447     0.0000430218     0.0000000000      
    0.0004442453     0.0011800966     0.0004829074     0.0000000000      
    0.0000629990     0.0009155871     0.0000052834     0.0000000000      
    0.0000513281     0.0010270895     0.0000042201     0.0000000000      
    0.0002338473     0.0008452996     0.0000032168     0.0000000000      
    0.0000375004     0.0008897899     0.0000050799     0.0000000000      
    0.0000339654     0.0011054178     0.0000022882     0.0000000000      
    0.0000143491     0.0008663099     0.0000032923     0.0000000000      
    0.0000481884     0.0009422096     0.0000005123     0.0000000000      
    0.0001340970     0.0010916094     0.0001279725     0.0000000000      
    0.0000812331     0.0010464106     0.0000024799     0.0000000000      
    0.0000061393     0.0008468417     0.0000007558     0.0000000000      
    0.0000478844     0.0009588296     0.0000000000     0.0000000000      
    0.0000552097     0.0009821739     0.0000023747     0.0000000000      
    0.0000744248     0.0009985141     0.0000023548     0.0000000000      
    0.0011588600     0.0008741634     0.0014286620     0.0000087448      
    0.0034081980     0.0012330661     0.0067884008     0.0000330735      
    0.0003309791     0.0010172859     0.0002824667     0.0000081515      
    0.0000010564     0.0008795004     0.0000042337     0.0000010775      
    0.0034006838     0.0009434966     0.0083991814     0.0000047568      
    0.0000520061     0.0008740361     0.0000100613     0.0000000000      
    0.0000120830     0.0011198026     0.0000042799     0.0000000000      
    0.0000723105     0.0011371664     0.0000063122     0.0000000000      
    0.0013605986     0.0010629202     0.0003266972     0.0000601722      
    0.0000000000     0.0011072553     0.0004908198     0.0003348507      
    0.0010242447     0.0007833542     0.0014900349     0.0000065085      
    0.0262728789     0.0011476236     0.0414188918     0.0016253370      
    0.0000134640     0.0009350929     0.0000069436     0.0000009877      
    0.0021472693     0.0009070114     0.0000028767     0.0000000000      
    0.0004993819     0.0010769288     0.0012440615     0.0000000000      
    0.0378533188     0.0008639547     0.0005660981     0.0000054267      
    0.0000139968     0.0001391734     0.0000064024     0.0001340788      
    0.0018646754     0.0005700657     0.0000032950     0.0000193531      
    0.0000522446     0.0020268244     0.0000093507     0.0000284039      
    0.0000121518     0.0005890431     0.0000037861     0.0000040209      
    0.0000650462     0.0000828064     0.0000063040     0.0000020575      
    0.0014311305     0.0022255499     0.0003395391     0.0002120306      
    0.0000000000     0.0036712325     0.0004946894     0.0003959762      
    0.0003869209     0.0123047656     0.0002526160     0.0002351904      
    0.0000010400     0.0000494802     0.0000043157     0.0000530270      
    0.0013964610     0.0004584796     0.0014544513     0.0004890348      
    0.0000300227     0.0000000000     0.0000113668     0.0000000000      
    0.0000435500     0.0000000000     0.0000387765     0.0000000000      
    0.0000569844     0.0000000000     0.0000431660     0.0000003239      
    0.0000934982     0.0000000000     0.0000572240     0.0000000000      
    0.0000999232     0.0000000000     0.0000897759     0.0000000000      
    0.0001180984     0.0000000000     0.0000739690     0.0000000000      
    0.0000299196     0.0000000000     0.0000958240     0.0000005678      
    0.0001125923     0.0000000000     0.0000779933     0.0000005739      
    0.0001393946     0.0000000000     0.0000786023     0.0000000000      
    0.0001741799     0.0000000000     0.0001220191     0.0000000000      
    0.0002420462     0.0008949349     0.0000000000     0.0000000000      
    0.0009065316     0.0008069710     0.0008621180     0.0000214272      
    0.0000000000     0.0008403406     0.0000407678     0.0000000000      
    0.0004994058     0.0012077876     0.0004033410     0.0000000000      
    0.0000635527     0.0009935538     0.0000045125     0.0000000000      
    0.0000577494     0.0011445226     0.0000048149     0.0000000000      
    0.0002156832     0.0008951070     0.0000027249     0.0000000000      
    0.0000344666     0.0007725798     0.0000054665     0.0000000000      
    0.0000340019     0.0010229500     0.0000027130     0.0000000000      
    0.0000141707     0.0008250945     0.0000031129     0.0000000000      
    0.0000513691     0.0011114591     0.0000004605     0.0000000000      
    0.0001422647     0.0011259104     0.0001119656     0.0000000000      
    0.0000815853     0.0010739630     0.0000027488     0.0000000000      
    0.0000056447     0.0008820933     0.0000006804     0.0000000000      
    0.0000520644     0.0009452831     0.0000000000     0.0000000000      
    0.0000592327     0.0010105936     0.0000027325     0.0000000000      
    0.0000799486     0.0009746830     0.0000028267     0.0000000000      
    0.0011864610     0.0007929139     0.0014558448     0.0000077145      
    0.0031862248     0.0012307986     0.0075453969     0.0000325661      
    0.0003481028     0.0012048703     0.0002608466     0.0000090388      
    0.0000009080     0.0009839178     0.0000040649     0.0000010359      
    0.0033493083     0.0009506432     0.0078736012     0.0000048984      
    0.0000517181     0.0007898612     0.0000092265     0.0000000000      
    0.0000116441     0.0009686067     0.0000040636     0.0000000000      
    0.0000662534     0.0011778711     0.0000073026     0.0000000000      
    0.0015757090     0.0012451515     0.0003510971     0.0000658911      
    0.0000000000     0.0010704988     0.0005703301     0.0003292721      
    0.0009605318     0.0008829896     0.0016413771     0.0000064678      
    0.0233597611     0.0010631805     0.0460636435     0.0015458783      
    0.0000152310     0.0009001115     0.0000067168     0.0000009622      
    0.0021274898     0.0008533543     0.0000032954     0.0000000000      
    0.0004654973     0.0010915268     0.0011068876     0.0000000000      
    0.0429311687     0.0008057269     0.0006110293     0.0000061211      
    0.0000136121     0.0001319424     0.0000073515     0.0001141222      
    0.0020777361     0.0005793248     0.0000029085     0.0000207718      
    0.0000454493     0.0017530537     0.0000103594     0.0000315459      
    0.0000116330     0.0005914186     0.0000043171     0.0000042244      
    0.0000675643     0.0000816107     0.0000069502     0.0000021669      
    0.0015079946     0.0024100703     0.0003435824     0.0001919933      
    0.0000000000     0.0035837391     0.0004985886     0.0004496576      
    0.0003298373     0.0122339274     0.0002513442     0.0002789602      
    0.0000010087     0.0000560129     0.0000037218     0.0000537784      
    0.0012846058     0.0005236938     0.0013169802     0.0005495124      
    0.0000333024     0.0000000000     0.0000112632     0.0000000000      
    0.0000419034     0.0000000000     0.0000402018     0.0000000000      
    0.0000633706     0.0000000000     0.0000383166     0.0000002990      
    0.0000805309     0.0000000000     0.0000547338     0.0000000000      
    0.0001063144     0.0000000000     0.0000880439     0.0000000000      
    0.0001138938     0.0000000000     0.0000802886     0.0000000000      
    0.0000283092     0.0000000000     0.0000855959     0.0000006158      
    0.0001237727     0.0000000000     0.0000914837     0.0000006041      
    0.0001397974     0.0000000000     0.0000749940     0.0000000000      
    0.0001827006     0.0000000000     0.0001337751     0.0000000000      
    0.0002389226     0.0009058380     0.0000000000     0.0000000000      
    0.0009103001     0.0008245386     0.0008314490     0.0000201105      
    0.0000000000     0.0009367724     0.0000469738     0.0000000000      
    0.0004295831     0.0010779158     0.0004391168     0.0000000000      
    0.0000646187     0.0009199303     0.0000054738     0.0000000000      
    0.0000516594     0.0010315932     0.0000048103     0.0000000000      
    0.0002110801     0.0008865036     0.0000027997     0.0000000000      
    0.0000338683     0.0007788491     0.0000058356     0.0000000000      
    0.0000363607     0.0012098499     0.0000023351     0.0000000000      
    0.0000142640     0.0008253144     0.0000030972     0.0000000000      
    0.0000498002     0.0010032727     0.0000004829     0.0000000000      
    0.0001249586     0.0011336890     0.0001307432     0.0000000000      
    0.0000792802     0.0010846128     0.0000023828     0.0000000000      
    0.0000060112     0.0007865692     0.0000007001     0.0000000000      
    0.0000469418     0.0009460998     0.0000000000     0.0000000000      
    0.0000569092     0.0010749998     0.0000027093     0.0000000000      
    0.0000772219     0.0008539094     0.0000026642     0.0000000000      
    0.0012982488     0.0008230009     0.0014973760     0.0000077594      
    0.0031485690     0.0012089426     0.0063401387     0.0000337580      
    0.0003473194     0.0011615089     0.0002635094     0.0000087313      
    0.0000009343     0.0009138184     0.0000043323     0.0000009474      
    0.0039615847     0.0008655195     0.0073577083     0.0000049243      
    0.0000501194     0.0008944009     0.0000099864     0.0000000000      
    0.0000113577     0.0010152951     0.0000041375     0.0000000000      
    0.0000697481     0.0011039800     0.0000066451     0.0000000000      
    0.0015851220     0.0012191039     0.0003003612     0.0000618926      
    0.0000000000     0.0010743376     0.0005665986     0.0003213129      
    0.0008761222     0.0008923709     0.0015492594     0.0000055998      
    0.0258752805     0.0010514532     0.0426459087     0.0016317021      
    0.0000138047     0.0009479994     0.0000074792     0.0000010198      
    0.0020880496     0.0008626864     0.0000029397     0.0000000000      
    0.0005254235     0.0012395887     0.0010329611     0.0000000000      
    0.0399966465     0.0008857678     0.0006470690     0.0000064915      
    0.0000130844     0.0001207401     0.0000064400     0.0001179393      
    0.0021289013     0.0005363107     0.0000029697     0.0000218695      
    0.0000523595     0.0020330715     0.0000101453     0.0000294075      
    0.0000126085     0.0005370179     0.0000042781     0.0000043702      
    0.0000638783     0.0000816390     0.0000073534     0.0000018097      
    0.0014994712     0.0022041620     0.0003253894     0.0002100573      
    0.0000000000     0.0035985988     0.0005364594     0.0003764103      
    0.0003950637     0.0119639889     0.0002675581     0.0002650478      
    0.0000009564     0.0000510983     0.0000037815     0.0000452324      
    0.0012976558     0.0004369418     0.0012838926     0.0005454782      
    0.0000360789     0.0000000000     0.0000114382     0.0000000000      
    0.0000468647     0.0000000000     0.0000420729     0.0000000000      
    0.0000574043     0.0000000000     0.0000391666     0.0000003061      
    0.0000798519     0.0000000000     0.0000552748     0.0000000000      
    0.0000876101     0.0000000000     0.0000913331     0.0000000000      
    0.0000997261     0.0000000000     0.0000808615     0.0000000000      
    0.0000275301     0.0000000000     0.0000960063     0.0000006343      
    0.0001112231     0.0000000000     0.0000826799     0.0000006046      
    0.0001345805     0.0000000000     0.0000683459     0.0000000000      
    0.0001790098     0.0000000000     0.0001339288     0.0000000000      
    0.0002207621     0.0008520474     0.0000000000     0.0000000000      
    0.0008474358     0.0008868127     0.0009708442     0.0000216337      
    0.0000000000     0.0009678696     0.0000485389     0.0000000000      
    0.0004669416     0.0011069637     0.0004599070     0.0000000000      
    0.0000594658     0.0009991999     0.0000052604     0.0000000000      
    0.0000487697     0.0012043300     0.0000046385     0.0000000000      
    0.0002170363     0.0009367491     0.0000031502     0.0000000000      
    0.0000340317     0.0008782608     0.0000056242     0.0000000000      
    0.0000370476     0.0012149148     0.0000025395     0.0000000000      
    0.0000131359     0.0008763377     0.0000029160     0.0000000000      
    0.0000495849     0.0009507040     0.0000004712     0.0000000000      
    0.0001370542     0.0010402443     0.0001255201     0.0000000000      
    0.0000804547     0.0011464949     0.0000023280     0.0000000000      
    0.0000061821     0.0008635455     0.0000006663     0.0000000000      
    0.0000533453     0.0008728483     0.0000000000     0.0000000000      
    0.0000601905     0.0010111129     0.0000027653     0.0000000000      
    0.0000708962     0.0008961625     0.0000028260     0.0000000000      
    0.0012242062     0.0007625487     0.0013593226     0.0000083489      
    0.0031733755     0.0011573240     0.0067082292     0.0000351854      
    0.0003283853     0.0010472836     0.0002801959     0.0000085587      
    0.0000009640     0.0010084185     0.0000043233     0.0000010046      
    0.0033681935     0.0009540208     0.0075405121     0.0000048466      
    0.0000503358     0.0008861788     0.0000093755     0.0000000000      
    0.0000110745     0.0009747325     0.0000037483     0.0000000000      
    0.0000604554     0.0011820596     0.0000075748     0.0000000000      
    0.0015079816     0.0010574977     0.0003071057     0.0000574447      
    0.0000000000     0.0010335736     0.0004963835     0.0003388847      
    0.0009086594     0.0008965341     0.0015749037     0.0000058979      
    0.0267503361     0.0010187880     0.0457148098     0.0016587989      
    0.0000133595     0.0008131755     0.0000073622     0.0000010846      
    0.0020521672     0.0008723234     0.0000028609     0.0000000000      
    0.0004654801     0.0012474026     0.0012360327     0.0000000000      
    0.0426439850     0.0009236864     0.0006090573     0.0000062389      
    0.0000139119     0.0001208334     0.0000069437     0.0001268797      
    0.0019766501     0.0005336049     0.0000027277     0.0000193970      
    0.0000526647     0.0019028455     0.0000105822     0.0000271593      
    0.0000120711     0.0005067147     0.0000043069     0.0000037870      
    0.0000609005     0.0000763623     0.0000067953     0.0000020503      
    0.0015619318     0.0021804657     0.0003472183     0.0002240878      
    0.0000000000     0.0039073487     0.0004877823     0.0003979869      
    0.0003485126     0.0119917118     0.0002730861     0.0002847132      
    0.0000010410     0.0000501510     0.0000039149     0.0000511277      
    0.0011556064     0.0004938110     0.0013019587     0.0005055855      
    0.0000317177     0.0000000000     0.0000112079     0.0000000000      
    0.0000486974     0.0000000000     0.0000413905     0.0000000000      
    0.0000593429     0.0000000000     0.0000379142     0.0000002707      
    0.0000805854     0.0000000000     0.0000521577     0.0000000000      
    0.0000958776     0.0000000000     0.0000781834     0.0000000000      
    0.0001048285     0.0000000000     0.0000854179     0.0000000000      
    0.0000275385     0.0000000000     0.0000916294     0.0000006078      
    0.0001117957     0.0000000000     0.0000792169     0.0000005135      
    0.0001537723     0.0000000000     0.0000795834     0.0000000000      
    0.0001922526     0.0000000000     0.0001254821     0.0000000000      
    0.0002138810     0.0007979164     0.0000000000     0.0000000000      
    0.0009288998     0.0008973495     0.0008536908     0.0000239887      
    0.0000000000     0.0008408246     0.0000445798     0.0000000000      
    0.0005009942     0.0010701490     0.0004607780     0.0000000000      
    0.0000628678     0.0009917325     0.0000047990     0.0000000000      
    0.0000526200     0.0011375945     0.0000048517     0.0000000000      
     
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
